chr	start	end	group
chr14	2844935	2844937	7
chr14	3021193	3021195	9
chr14	3021201	3021203	9
chr14	3026636	3026638	8
chr14	3502921	3502923	11
chr14	4900551	4900553	6
chr14	4908859	4908861	3
chr14	5374429	5374431	3
chr14	5414162	5414164	3
chr14	5533561	5533563	2
chr14	5914436	5914438	5
chr14	6241715	6241717	1
chr14	7107169	7107175	3
chr14	7208013	7208015	3
chr14	7322578	7322580	1
chr14	8005859	8005861	1
chr14	8170692	8170694	1
chr14	8242502	8242504	2
chr14	8242503	8242505	2
chr14	8461822	8461824	15
chr14	8903095	8903097	6
chr14	9111661	9111663	8
chr14	9157845	9157847	8
chr14	9157854	9157856	8
chr14	9158164	9158166	9
chr14	9158191	9158193	9
chr14	9188469	9188471	3
chr14	9663991	9663993	1
chr14	9738649	9738651	1
chr14	9797757	9797759	1
chr14	10085264	10085266	1
chr14	10854591	10854593	5
chr14	11054956	11054958	1
chr14	11465048	11465050	2
chr14	11696807	11696809	2
chr14	11769825	11769827	1
chr14	11811057	11811059	1
chr14	11820938	11820940	1
chr14	12189757	12189759	2
chr14	12189763	12189765	2
chr14	12192886	12192888	1
chr14	12222142	12222144	3
chr14	12530930	12530932	1
chr14	13621126	13621128	1
chr14	13643832	13643834	4
chr14	15093564	15093566	4
chr14	15096841	15096843	6
chr14	15627258	15627260	2
chr14	15717850	15717852	7
chr14	15891470	15891472	2
chr14	15932078	15932080	12
chr14	15932079	15932081	12
chr14	16166849	16166851	5
chr14	16181947	16181949	1
chr14	16247237	16247239	3
chr14	16247436	16247438	3
chr14	16275029	16275031	6
chr14	16495034	16495036	6
chr14	16506571	16506573	5
chr14	16604308	16604310	6
chr14	16619516	16619518	4
chr14	16648410	16648412	3
chr14	16739631	16739633	2
chr14	16739636	16739638	2
chr14	16756213	16756215	3
chr14	16815884	16815886	1
chr14	16870585	16870587	1
chr14	17103758	17103760	14
chr14	17339654	17339656	1
chr14	17401947	17401949	1
chr14	17443321	17443323	4
chr14	17698621	17698623	1
chr14	17963241	17963243	2
chr14	18320805	18320807	1
chr14	19138610	19138612	8
chr14	19187896	19187898	1
chr14	19499187	19499189	1
chr14	19499189	19499191	1
chr14	19862095	19862097	2
chr14	19862112	19862114	2
chr14	21704784	21704786	1
chr14	21802184	21802186	1
chr14	21999119	21999121	1
chr14	22396436	22396438	1
chr14	23003205	23003207	1
chr14	23029938	23029940	3
chr14	24230456	24230458	3
chr14	24293138	24293140	1
chr14	24854599	24854601	5
chr14	25144018	25144020	8
chr14	25144583	25144585	8
chr14	25197729	25197731	1
chr14	25629674	25629676	2
chr14	25678141	25678143	13
chr14	25763231	25763233	1
chr14	25763233	25763235	1
chr14	26414452	26414454	18
chr14	26924400	26937213	1
chr14	26949136	26949138	4
chr14	26949514	26949516	4
chr14	27069656	27069658	7
chr14	27158949	27671837	1
chr14	27674004	27674006	2
chr14	27749478	27749480	1
chr14	28025667	28025669	1
chr14	29379192	29379194	1
chr14	29515751	29515753	2
